Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,0.95 $\pm$ 0.04,0.95 $\pm$ 0.04,0.97 $\pm$ 0.03,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.94 $\pm$ 0.04,0.94 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.94 $\pm$ 0.05,0.94 $\pm$ 0.04,0.94 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.05,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.98 $\pm$ 0.03,0.81 $\pm$ 0.08,0.44 $\pm$ 0.28,0.91 $\pm$ 0.06,0.97 $\pm$ 0.03
Banknote Authentication,0.84 $\pm$ 0.04,0.84 $\pm$ 0.04,0.97 $\pm$ 0.02,0.94 $\pm$ 0.02,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.01,0.99 $\pm$ 0.01,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.98 $\pm$ 0.01
Blood Transfusion,0.71 $\pm$ 0.03,0.71 $\pm$ 0.03,0.60 $\pm$ 0.24,0.72 $\pm$ 0.04,0.69 $\pm$ 0.13,0.63 $\pm$ 0.22,0.71 $\pm$ 0.05,0.73 $\pm$ 0.03,0.72 $\pm$ 0.03,0.69 $\pm$ 0.03,0.70 $\pm$ 0.03,0.69 $\pm$ 0.03,0.68 $\pm$ 0.03,0.71 $\pm$ 0.03,0.73 $\pm$ 0.03,0.72 $\pm$ 0.03,0.59 $\pm$ 0.25,0.74 $\pm$ 0.04,0.69 $\pm$ 0.12,0.63 $\pm$ 0.21,0.71 $\pm$ 0.05,0.71 $\pm$ 0.03,0.66 $\pm$ 0.01,0.70 $\pm$ 0.04,0.73 $\pm$ 0.03,0.70 $\pm$ 0.04
Breast Cancer,0.93 $\pm$ 0.03,0.93 $\pm$ 0.03,0.95 $\pm$ 0.02,0.94 $\pm$ 0.02,0.96 $\pm$ 0.02,0.95 $\pm$ 0.02,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.94 $\pm$ 0.03,0.95 $\pm$ 0.02,0.94 $\pm$ 0.03,0.93 $\pm$ 0.03,0.94 $\pm$ 0.03,0.94 $\pm$ 0.03,0.94 $\pm$ 0.03,0.95 $\pm$ 0.02,0.95 $\pm$ 0.02,0.96 $\pm$ 0.02,0.95 $\pm$ 0.02,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.92 $\pm$ 0.04,0.94 $\pm$ 0.03,0.93 $\pm$ 0.03,0.93 $\pm$ 0.03
Breast Cancer Coimbra,0.59 $\pm$ 0.15,0.60 $\pm$ 0.14,0.59 $\pm$ 0.16,0.61 $\pm$ 0.15,0.59 $\pm$ 0.16,0.60 $\pm$ 0.15,0.58 $\pm$ 0.17,0.66 $\pm$ 0.14,0.67 $\pm$ 0.14,0.66 $\pm$ 0.13,0.67 $\pm$ 0.14,0.65 $\pm$ 0.14,0.65 $\pm$ 0.14,0.66 $\pm$ 0.15,0.65 $\pm$ 0.15,0.67 $\pm$ 0.14,0.63 $\pm$ 0.15,0.65 $\pm$ 0.14,0.60 $\pm$ 0.17,0.61 $\pm$ 0.17,0.56 $\pm$ 0.17,0.72 $\pm$ 0.15,0.40 $\pm$ 0.07,0.65 $\pm$ 0.13,0.48 $\pm$ 0.15,0.71 $\pm$ 0.11
Breast Cancer Wisconsin,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.98 $\pm$ 0.01,0.95 $\pm$ 0.02
Ecoli,0.86 $\pm$ 0.06,0.86 $\pm$ 0.06,0.87 $\pm$ 0.06,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.06,0.86 $\pm$ 0.06,0.10 $\pm$ 0.07,0.31 $\pm$ 0.35,0.18 $\pm$ 0.08,0.18 $\pm$ 0.08,0.22 $\pm$ 0.07,0.14 $\pm$ 0.08,0.86 $\pm$ 0.06,0.86 $\pm$ 0.06,0.86 $\pm$ 0.06,0.87 $\pm$ 0.06,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.87 $\pm$ 0.05,0.86 $\pm$ 0.06,0.81 $\pm$ 0.06,0.88 $\pm$ 0.05,0.78 $\pm$ 0.06,0.87 $\pm$ 0.05,0.81 $\pm$ 0.06
Electrical Grid Stability,0.81 $\pm$ 0.01,0.80 $\pm$ 0.01,0.84 $\pm$ 0.01,0.82 $\pm$ 0.01,0.85 $\pm$ 0.01,0.86 $\pm$ 0.03,0.79 $\pm$ 0.07,0.80 $\pm$ 0.01,0.80 $\pm$ 0.01,0.83 $\pm$ 0.01,0.82 $\pm$ 0.01,0.86 $\pm$ 0.01,0.81 $\pm$ 0.02,0.87 $\pm$ 0.01,0.80 $\pm$ 0.01,0.80 $\pm$ 0.01,0.83 $\pm$ 0.01,0.82 $\pm$ 0.01,0.86 $\pm$ 0.01,0.87 $\pm$ 0.04,0.82 $\pm$ 0.07,0.81 $\pm$ 0.01,0.89 $\pm$ 0.01,0.96 $\pm$ 0.01,0.79 $\pm$ 0.01,0.85 $\pm$ 0.01
Glass,0.49 $\pm$ 0.10,0.49 $\pm$ 0.10,0.53 $\pm$ 0.09,0.52 $\pm$ 0.09,0.54 $\pm$ 0.10,0.54 $\pm$ 0.10,0.58 $\pm$ 0.10,0.50 $\pm$ 0.09,0.50 $\pm$ 0.09,0.55 $\pm$ 0.10,0.54 $\pm$ 0.10,0.55 $\pm$ 0.11,0.53 $\pm$ 0.10,0.53 $\pm$ 0.12,0.49 $\pm$ 0.10,0.49 $\pm$ 0.10,0.55 $\pm$ 0.10,0.54 $\pm$ 0.10,0.56 $\pm$ 0.11,0.56 $\pm$ 0.12,0.58 $\pm$ 0.12,0.64 $\pm$ 0.08,0.47 $\pm$ 0.10,0.31 $\pm$ 0.09,0.66 $\pm$ 0.08,0.72 $\pm$ 0.09
HTRU2,0.95 $\pm$ 0.00,0.95 $\pm$ 0.00,0.96 $\pm$ 0.00,0.96 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.01,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00
