Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.01,0.08 $\pm$ 0.02,0.07 $\pm$ 0.02,0.21 $\pm$ 0.14,0.23 $\pm$ 0.07,1.82 $\pm$ 1.83,1.77 $\pm$ 1.76,1.76 $\pm$ 1.70,3.59 $\pm$ 1.72,1.80 $\pm$ 1.71,177.20 $\pm$ 48.83,178.38 $\pm$ 42.02,5.01 $\pm$ 2.30,4.90 $\pm$ 2.11,8.14 $\pm$ 1.87,103.82 $\pm$ 4.02,8.53 $\pm$ 1.90,19.81 $\pm$ 1.04,20.16 $\pm$ 1.07,11.30 $\pm$ 1.55,0.01 $\pm$ 0.00,0.04 $\pm$ 0.03,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Banknote Authentication,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.06 $\pm$ 0.02,0.05 $\pm$ 0.02,1.69 $\pm$ 1.70,1.63 $\pm$ 1.63,1.61 $\pm$ 1.60,1.73 $\pm$ 1.58,1.64 $\pm$ 1.61,54.59 $\pm$ 5.18,45.27 $\pm$ 4.13,3.44 $\pm$ 2.13,3.38 $\pm$ 2.12,6.26 $\pm$ 2.09,21.73 $\pm$ 2.02,5.98 $\pm$ 2.04,19.73 $\pm$ 0.50,18.59 $\pm$ 1.43,0.49 $\pm$ 0.14,0.03 $\pm$ 0.00,0.37 $\pm$ 0.07,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Blood Transfusion,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,1.73 $\pm$ 1.74,1.61 $\pm$ 1.62,1.62 $\pm$ 1.61,1.76 $\pm$ 1.64,1.63 $\pm$ 1.62,22.41 $\pm$ 4.84,21.61 $\pm$ 2.13,3.14 $\pm$ 1.95,3.03 $\pm$ 2.03,4.36 $\pm$ 2.07,15.72 $\pm$ 1.86,4.72 $\pm$ 2.10,3.82 $\pm$ 1.93,15.10 $\pm$ 0.84,1.00 $\pm$ 0.23,0.06 $\pm$ 0.01,0.11 $\pm$ 0.03,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Breast Cancer,0.02 $\pm$ 0.01,0.08 $\pm$ 0.03,0.37 $\pm$ 0.09,0.25 $\pm$ 0.05,0.43 $\pm$ 0.09,2.40 $\pm$ 1.04,1.53 $\pm$ 0.50,1.77 $\pm$ 1.71,1.75 $\pm$ 1.65,2.19 $\pm$ 1.62,15.05 $\pm$ 1.76,2.42 $\pm$ 1.64,1267.51 $\pm$ 175.15,1200.17 $\pm$ 108.98,11.71 $\pm$ 2.27,10.73 $\pm$ 3.24,18.34 $\pm$ 3.30,629.11 $\pm$ 28.89,19.90 $\pm$ 2.88,43.48 $\pm$ 5.02,38.98 $\pm$ 4.15,14.51 $\pm$ 0.63,0.02 $\pm$ 0.00,0.26 $\pm$ 0.07,0.03 $\pm$ 0.04,0.02 $\pm$ 0.00
Breast Cancer Coimbra,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.08 $\pm$ 0.03,0.09 $\pm$ 0.02,1.70 $\pm$ 1.71,1.58 $\pm$ 1.59,1.63 $\pm$ 1.60,2.40 $\pm$ 1.68,1.65 $\pm$ 1.62,52.52 $\pm$ 12.75,64.53 $\pm$ 14.47,4.58 $\pm$ 1.90,3.62 $\pm$ 2.06,6.51 $\pm$ 1.90,52.33 $\pm$ 2.96,6.67 $\pm$ 1.97,16.99 $\pm$ 0.49,16.73 $\pm$ 0.72,5.35 $\pm$ 1.24,0.01 $\pm$ 0.00,0.08 $\pm$ 0.01,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Breast Cancer Wisconsin,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.08 $\pm$ 0.02,0.21 $\pm$ 0.07,0.12 $\pm$ 0.03,1.70 $\pm$ 1.71,1.62 $\pm$ 1.61,1.67 $\pm$ 1.60,2.59 $\pm$ 1.72,1.71 $\pm$ 1.60,76.34 $\pm$ 7.39,67.82 $\pm$ 11.87,5.24 $\pm$ 2.25,5.32 $\pm$ 2.12,10.56 $\pm$ 2.05,86.04 $\pm$ 4.30,11.48 $\pm$ 2.00,9.59 $\pm$ 2.87,26.09 $\pm$ 1.69,0.62 $\pm$ 0.14,0.01 $\pm$ 0.00,0.40 $\pm$ 0.10,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Ecoli,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.04,0.11 $\pm$ 0.03,0.11 $\pm$ 0.02,1.71 $\pm$ 1.70,1.61 $\pm$ 1.60,1.74 $\pm$ 1.62,2.82 $\pm$ 1.71,1.75 $\pm$ 1.60,56.34 $\pm$ 19.68,66.31 $\pm$ 10.07,3.97 $\pm$ 2.16,3.82 $\pm$ 2.32,7.00 $\pm$ 2.16,40.45 $\pm$ 3.23,7.13 $\pm$ 2.24,17.05 $\pm$ 0.88,18.30 $\pm$ 0.80,0.87 $\pm$ 0.21,0.01 $\pm$ 0.00,0.19 $\pm$ 0.04,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
Electrical Grid Stability,0.02 $\pm$ 0.01,0.34 $\pm$ 0.07,1.36 $\pm$ 0.29,0.13 $\pm$ 0.02,1.60 $\pm$ 0.31,1.09 $\pm$ 0.82,0.47 $\pm$ 0.15,1.64 $\pm$ 1.61,1.86 $\pm$ 1.55,3.08 $\pm$ 1.51,3.98 $\pm$ 1.53,2.98 $\pm$ 1.44,1079.87 $\pm$ 45.35,697.40 $\pm$ 4.55,25.09 $\pm$ 2.35,25.12 $\pm$ 2.12,87.52 $\pm$ 2.21,1029.58 $\pm$ 9.89,120.79 $\pm$ 2.84,68.40 $\pm$ 17.39,125.17 $\pm$ 18.03,1.12 $\pm$ 0.16,5.40 $\pm$ 0.57,11.13 $\pm$ 1.15,0.03 $\pm$ 0.00,0.28 $\pm$ 0.07
Glass,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.03 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.14 $\pm$ 0.07,0.19 $\pm$ 0.03,1.69 $\pm$ 1.67,1.65 $\pm$ 1.62,1.71 $\pm$ 1.61,3.51 $\pm$ 1.80,1.78 $\pm$ 1.63,103.23 $\pm$ 27.99,135.05 $\pm$ 28.17,6.84 $\pm$ 2.44,6.71 $\pm$ 2.67,11.83 $\pm$ 2.05,94.57 $\pm$ 5.31,11.55 $\pm$ 2.58,24.17 $\pm$ 1.26,23.61 $\pm$ 0.85,14.24 $\pm$ 2.08,0.01 $\pm$ 0.00,0.02 $\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
HTRU2,0.02 $\pm$ 0.01,0.42 $\pm$ 0.08,1.10 $\pm$ 0.23,0.08 $\pm$ 0.01,1.43 $\pm$ 0.25,0.95 $\pm$ 0.32,0.45 $\pm$ 0.09,1.63 $\pm$ 1.61,1.89 $\pm$ 1.52,2.79 $\pm$ 1.54,3.27 $\pm$ 1.49,3.23 $\pm$ 1.62,2558.80 $\pm$ 148.34,1316.31 $\pm$ 76.62,29.61 $\pm$ 1.84,29.46 $\pm$ 2.93,113.47 $\pm$ 4.93,884.03 $\pm$ 28.26,155.43 $\pm$ 9.95,162.20 $\pm$ 11.33,261.57 $\pm$ 16.39,2.96 $\pm$ 0.60,3.63 $\pm$ 0.44,4.34 $\pm$ 2.05,0.04 $\pm$ 0.01,0.26 $\pm$ 0.03
