Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.99 $\pm$ 0.03,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.99 $\pm$ 0.02,0.99 $\pm$ 0.02,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,0.98 $\pm$ 0.03,1.00 $\pm$ 0.00,0.93 $\pm$ 0.06,0.63 $\pm$ 0.22,0.96 $\pm$ 0.04,0.97 $\pm$ 0.03
Banknote Authentication,0.94 $\pm$ 0.02,0.94 $\pm$ 0.02,0.99 $\pm$ 0.00,0.99 $\pm$ 0.01,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.98 $\pm$ 0.01,0.98 $\pm$ 0.01,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.98 $\pm$ 0.01,0.98 $\pm$ 0.01,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.98 $\pm$ 0.01
Blood Transfusion,0.71 $\pm$ 0.06,0.71 $\pm$ 0.06,0.73 $\pm$ 0.05,0.73 $\pm$ 0.05,0.73 $\pm$ 0.05,0.73 $\pm$ 0.05,0.71 $\pm$ 0.06,0.72 $\pm$ 0.07,0.72 $\pm$ 0.07,0.74 $\pm$ 0.06,0.73 $\pm$ 0.06,0.74 $\pm$ 0.06,0.74 $\pm$ 0.06,0.74 $\pm$ 0.06,0.72 $\pm$ 0.07,0.72 $\pm$ 0.07,0.73 $\pm$ 0.06,0.73 $\pm$ 0.06,0.74 $\pm$ 0.05,0.72 $\pm$ 0.06,0.72 $\pm$ 0.06,0.75 $\pm$ 0.05,0.61 $\pm$ 0.12,0.68 $\pm$ 0.09,0.69 $\pm$ 0.07,0.59 $\pm$ 0.07
Breast Cancer,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.97 $\pm$ 0.02,0.99 $\pm$ 0.01,0.96 $\pm$ 0.03,0.92 $\pm$ 0.04
Breast Cancer Coimbra,0.78 $\pm$ 0.15,0.77 $\pm$ 0.14,0.79 $\pm$ 0.14,0.79 $\pm$ 0.15,0.77 $\pm$ 0.17,0.76 $\pm$ 0.15,0.75 $\pm$ 0.16,0.79 $\pm$ 0.15,0.79 $\pm$ 0.16,0.82 $\pm$ 0.13,0.80 $\pm$ 0.14,0.80 $\pm$ 0.14,0.78 $\pm$ 0.15,0.79 $\pm$ 0.16,0.78 $\pm$ 0.15,0.78 $\pm$ 0.16,0.80 $\pm$ 0.14,0.80 $\pm$ 0.14,0.77 $\pm$ 0.16,0.76 $\pm$ 0.14,0.74 $\pm$ 0.16,0.80 $\pm$ 0.14,0.42 $\pm$ 0.21,0.74 $\pm$ 0.16,0.48 $\pm$ 0.14,0.72 $\pm$ 0.11
Breast Cancer Wisconsin,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.00,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.94 $\pm$ 0.03
Ecoli,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.98 $\pm$ 0.02,0.97 $\pm$ 0.03,0.97 $\pm$ 0.03,0.97 $\pm$ 0.03,0.91 $\pm$ 0.05,0.92 $\pm$ 0.05,0.89 $\pm$ 0.06,0.92 $\pm$ 0.05,0.90 $\pm$ 0.04,0.91 $\pm$ 0.05,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.98 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.03,0.97 $\pm$ 0.03,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.88 $\pm$ 0.04
Electrical Grid Stability,0.92 $\pm$ 0.01,0.92 $\pm$ 0.01,0.94 $\pm$ 0.01,0.93 $\pm$ 0.01,0.94 $\pm$ 0.01,0.95 $\pm$ 0.02,0.92 $\pm$ 0.02,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,0.96 $\pm$ 0.01,0.95 $\pm$ 0.01,0.96 $\pm$ 0.01,0.95 $\pm$ 0.02,0.97 $\pm$ 0.00,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,0.96 $\pm$ 0.01,0.95 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.94 $\pm$ 0.02,0.89 $\pm$ 0.01,0.96 $\pm$ 0.01,0.99 $\pm$ 0.00,0.84 $\pm$ 0.01,0.83 $\pm$ 0.01
Glass,0.77 $\pm$ 0.09,0.77 $\pm$ 0.09,0.81 $\pm$ 0.07,0.81 $\pm$ 0.08,0.83 $\pm$ 0.07,0.81 $\pm$ 0.08,0.82 $\pm$ 0.08,0.83 $\pm$ 0.08,0.84 $\pm$ 0.08,0.87 $\pm$ 0.07,0.86 $\pm$ 0.07,0.88 $\pm$ 0.07,0.85 $\pm$ 0.07,0.85 $\pm$ 0.08,0.82 $\pm$ 0.08,0.83 $\pm$ 0.08,0.85 $\pm$ 0.07,0.85 $\pm$ 0.07,0.86 $\pm$ 0.07,0.83 $\pm$ 0.09,0.82 $\pm$ 0.08,0.81 $\pm$ 0.06,0.74 $\pm$ 0.06,0.58 $\pm$ 0.09,0.88 $\pm$ 0.04,0.79 $\pm$ 0.07
HTRU2,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.97 $\pm$ 0.01,0.98 $\pm$ 0.01,0.95 $\pm$ 0.01,0.97 $\pm$ 0.01,0.93 $\pm$ 0.01,0.91 $\pm$ 0.02
Haberman's Survival,0.64 $\pm$ 0.14,0.67 $\pm$ 0.13,0.67 $\pm$ 0.12,0.69 $\pm$ 0.13,0.69 $\pm$ 0.12,0.65 $\pm$ 0.14,0.67 $\pm$ 0.12,0.69 $\pm$ 0.12,0.67 $\pm$ 0.11,0.69 $\pm$ 0.12,0.70 $\pm$ 0.12,0.70 $\pm$ 0.13,0.69 $\pm$ 0.12,0.69 $\pm$ 0.11,0.67 $\pm$ 0.12,0.66 $\pm$ 0.12,0.70 $\pm$ 0.12,0.70 $\pm$ 0.12,0.70 $\pm$ 0.13,0.68 $\pm$ 0.12,0.68 $\pm$ 0.11,0.68 $\pm$ 0.13,0.72 $\pm$ 0.12,0.69 $\pm$ 0.11,0.66 $\pm$ 0.13,0.56 $\pm$ 0.10
Iris,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.01,1.00 $\pm$ 0.00,0.99 $\pm$ 0.02,0.96 $\pm$ 0.04
Magic Gamma Telescope,0.76 $\pm$ 0.01,0.76 $\pm$ 0.01,0.84 $\pm$ 0.01,0.81 $\pm$ 0.01,0.87 $\pm$ 0.01,0.87 $\pm$ 0.01,0.87 $\pm$ 0.01,0.85 $\pm$ 0.01,0.85 $\pm$ 0.01,0.91 $\pm$ 0.01,0.90 $\pm$ 0.01,0.92 $\pm$ 0.01,0.92 $\pm$ 0.01,0.92 $\pm$ 0.01,0.85 $\pm$ 0.01,0.85 $\pm$ 0.01,0.91 $\pm$ 0.01,0.90 $\pm$ 0.01,0.91 $\pm$ 0.01,0.91 $\pm$ 0.01,0.91 $\pm$ 0.01,0.84 $\pm$ 0.01,0.87 $\pm$ 0.01,0.89 $\pm$ 0.01,0.84 $\pm$ 0.01,0.80 $\pm$ 0.01
Mammographic Mass,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.90 $\pm$ 0.03,0.90 $\pm$ 0.03,0.89 $\pm$ 0.03,0.90 $\pm$ 0.03,0.88 $\pm$ 0.04,0.88 $\pm$ 0.05,0.90 $\pm$ 0.03,0.89 $\pm$ 0.04,0.89 $\pm$ 0.04,0.88 $\pm$ 0.04,0.89 $\pm$ 0.04,0.86 $\pm$ 0.05,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.90 $\pm$ 0.03,0.87 $\pm$ 0.04,0.88 $\pm$ 0.04,0.87 $\pm$ 0.04,0.79 $\pm$ 0.05
