Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM
Algerian Forest Fires,0.95 ± 0.04,0.95 ± 0.04,0.97 ± 0.03,0.96 ± 0.04,0.96 ± 0.04,0.96 ± 0.04,0.95 ± 0.04,0.94 ± 0.04,0.94 ± 0.04,0.96 ± 0.04,0.95 ± 0.04,0.96 ± 0.04,0.96 ± 0.04,0.94 ± 0.05,0.94 ± 0.04,0.94 ± 0.04,0.96 ± 0.04,0.95 ± 0.05,0.96 ± 0.04,0.95 ± 0.04,0.95 ± 0.04
Banknote Authentication,0.84 ± 0.04,0.84 ± 0.04,0.97 ± 0.02,0.94 ± 0.02,0.98 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,0.91 ± 0.03,0.91 ± 0.03,0.98 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,1.00 ± 0.01,0.99 ± 0.01,0.91 ± 0.03,0.91 ± 0.03,0.98 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,0.99 ± 0.01
Blood Transfusion,0.71 ± 0.03,0.71 ± 0.03,0.60 ± 0.24,0.72 ± 0.04,0.69 ± 0.13,0.63 ± 0.22,0.71 ± 0.05,0.73 ± 0.03,0.72 ± 0.03,0.69 ± 0.03,0.70 ± 0.03,0.69 ± 0.03,0.68 ± 0.03,0.71 ± 0.03,0.73 ± 0.03,0.72 ± 0.03,0.59 ± 0.25,0.74 ± 0.04,0.69 ± 0.12,0.63 ± 0.21,0.71 ± 0.05
Breast Cancer,0.93 ± 0.03,0.93 ± 0.03,0.95 ± 0.02,0.94 ± 0.02,0.96 ± 0.02,0.95 ± 0.02,0.95 ± 0.03,0.95 ± 0.03,0.95 ± 0.03,0.94 ± 0.03,0.95 ± 0.02,0.94 ± 0.03,0.93 ± 0.03,0.94 ± 0.03,0.94 ± 0.03,0.94 ± 0.03,0.95 ± 0.02,0.95 ± 0.02,0.96 ± 0.02,0.95 ± 0.02,0.95 ± 0.03
Breast Cancer Coimbra,0.59 ± 0.15,0.60 ± 0.14,0.59 ± 0.16,0.61 ± 0.15,0.59 ± 0.16,0.60 ± 0.15,0.58 ± 0.17,0.66 ± 0.14,0.67 ± 0.14,0.66 ± 0.13,0.67 ± 0.14,0.65 ± 0.14,0.65 ± 0.14,0.66 ± 0.15,0.65 ± 0.15,0.67 ± 0.14,0.63 ± 0.15,0.65 ± 0.14,0.60 ± 0.17,0.63 ± 0.16,0.56 ± 0.17
Breast Cancer Wisconsin,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.97 ± 0.02,0.97 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.97 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.97 ± 0.02,0.97 ± 0.02,0.96 ± 0.02,0.96 ± 0.02,0.96 ± 0.02
Ecoli,0.86 ± 0.06,0.86 ± 0.06,0.87 ± 0.06,0.87 ± 0.05,0.87 ± 0.05,0.87 ± 0.06,0.86 ± 0.06,0.10 ± 0.07,0.31 ± 0.35,0.18 ± 0.08,0.18 ± 0.08,0.22 ± 0.07,0.14 ± 0.08,0.86 ± 0.06,0.86 ± 0.06,0.86 ± 0.06,0.87 ± 0.06,0.86 ± 0.05,0.86 ± 0.05,0.38 ± 0.34,0.86 ± 0.06
Electrical Grid Stability,0.81 ± 0.01,0.80 ± 0.01,0.84 ± 0.01,0.82 ± 0.01,0.85 ± 0.01,0.86 ± 0.03,0.79 ± 0.07,0.80 ± 0.01,0.80 ± 0.01,0.83 ± 0.01,0.82 ± 0.01,0.86 ± 0.01,0.81 ± 0.02,0.87 ± 0.01,0.80 ± 0.01,0.80 ± 0.01,0.83 ± 0.01,0.82 ± 0.01,0.86 ± 0.01,0.87 ± 0.04,0.82 ± 0.07
Glass,0.49 ± 0.10,0.49 ± 0.10,0.53 ± 0.09,0.52 ± 0.09,0.54 ± 0.10,0.54 ± 0.10,0.58 ± 0.10,0.50 ± 0.09,0.50 ± 0.09,0.55 ± 0.10,0.54 ± 0.10,0.55 ± 0.11,0.53 ± 0.10,0.53 ± 0.12,0.49 ± 0.10,0.49 ± 0.10,0.55 ± 0.10,0.54 ± 0.10,0.56 ± 0.11,0.54 ± 0.09,0.58 ± 0.12
HTRU2,0.95 ± 0.00,0.95 ± 0.00,0.96 ± 0.00,0.96 ± 0.00,0.97 ± 0.00,0.97 ± 0.00,0.97 ± 0.00,0.97 ± 0.00,0.97 ± 0.00,0.98 ± 0.00,0.98 ± 0.00,0.97 ± 0.00,0.97 ± 0.01,0.97 ± 0.00,0.97 ± 0.00,0.97 ± 0.00,0.98 ± 0.00,0.98 ± 0.00,0.98 ± 0.00,0.98 ± 0.00,0.98 ± 0.00
