Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,-928.55 $\pm$ 131.34,-929.09 $\pm$ 131.10,-818.02 $\pm$ 133.69,-2194.82 $\pm$ 693.87,-943.51 $\pm$ 507.23,-973.83 $\pm$ 493.06,-798.84 $\pm$ 115.26,-967.63 $\pm$ 375.86,-968.29 $\pm$ 375.71,-864.43 $\pm$ 303.05,-4342.80 $\pm$ 1220.16,-846.68 $\pm$ 255.58,-861.44 $\pm$ 321.64,-769.78 $\pm$ 37.37,-901.83 $\pm$ 131.49,-902.25 $\pm$ 131.37,-804.58 $\pm$ 134.00,-3435.49 $\pm$ 1155.15,-939.68 $\pm$ 496.99,-965.16 $\pm$ 496.18,-782.36 $\pm$ 115.23,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Banknote Authentication,-1486.67 $\pm$ 22.75,-1486.67 $\pm$ 22.74,-1364.13 $\pm$ 24.41,-532.78 $\pm$ 25.39,-1283.65 $\pm$ 19.83,-1278.81 $\pm$ 20.03,-1275.27 $\pm$ 20.10,-1426.18 $\pm$ 18.35,-1426.20 $\pm$ 18.37,-1240.70 $\pm$ 11.77,-827.74 $\pm$ 66.23,-1206.98 $\pm$ 9.00,-1191.38 $\pm$ 9.10,-1187.96 $\pm$ 8.54,-1426.18 $\pm$ 18.35,-1426.20 $\pm$ 18.37,-1240.70 $\pm$ 11.77,-827.74 $\pm$ 66.23,-1181.28 $\pm$ 13.69,-1174.17 $\pm$ 14.31,-1184.05 $\pm$ 15.72,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Blood Transfusion,-1524.74 $\pm$ 40.73,-1525.28 $\pm$ 41.32,-1069.96 $\pm$ 848.36,-242.57 $\pm$ 61.99,-1924.01 $\pm$ 1223.69,-1483.13 $\pm$ 1124.71,-282.81 $\pm$ 63.68,-1441.50 $\pm$ 36.81,-1441.58 $\pm$ 36.90,-1361.92 $\pm$ 30.81,-266.04 $\pm$ 93.62,-1366.09 $\pm$ 36.66,-1350.76 $\pm$ 34.73,-1309.49 $\pm$ 34.13,-1444.60 $\pm$ 39.36,-1444.54 $\pm$ 39.39,-1023.72 $\pm$ 847.70,-229.88 $\pm$ 96.28,-1984.01 $\pm$ 1173.26,-1432.00 $\pm$ 1121.75,-235.99 $\pm$ 65.49,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer,274.09 $\pm$ 131.33,274.32 $\pm$ 130.67,1400.73 $\pm$ 187.44,-2205.84 $\pm$ 563.92,1461.75 $\pm$ 185.41,1769.20 $\pm$ 267.39,1753.32 $\pm$ 280.69,412.86 $\pm$ 155.44,412.49 $\pm$ 155.10,1150.44 $\pm$ 144.38,-3994.59 $\pm$ 927.19,1170.88 $\pm$ 132.51,1218.61 $\pm$ 139.16,1263.36 $\pm$ 135.30,380.16 $\pm$ 170.25,379.85 $\pm$ 169.50,1422.08 $\pm$ 216.35,-2815.20 $\pm$ 712.94,1473.43 $\pm$ 203.55,1808.38 $\pm$ 296.41,1769.46 $\pm$ 274.09,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer Coimbra,-442.41 $\pm$ 45.78,-445.39 $\pm$ 45.83,-435.26 $\pm$ 69.59,-106.82 $\pm$ 97.41,-443.81 $\pm$ 90.92,-459.63 $\pm$ 109.10,-418.21 $\pm$ 89.79,-437.73 $\pm$ 77.29,-437.93 $\pm$ 77.21,-430.41 $\pm$ 72.58,-183.84 $\pm$ 234.30,-436.73 $\pm$ 74.04,-429.55 $\pm$ 69.72,-400.62 $\pm$ 27.53,-442.31 $\pm$ 78.48,-442.05 $\pm$ 78.02,-436.84 $\pm$ 80.50,-119.21 $\pm$ 157.29,-444.36 $\pm$ 94.69,-458.06 $\pm$ 133.13,-410.68 $\pm$ 86.29,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer Wisconsin,-1133.04 $\pm$ 94.46,-1133.04 $\pm$ 94.46,-1098.85 $\pm$ 89.12,-2347.99 $\pm$ 342.26,-1087.16 $\pm$ 86.79,-1087.40 $\pm$ 90.12,-1009.79 $\pm$ 30.66,-762.41 $\pm$ 65.15,-762.41 $\pm$ 65.15,-808.79 $\pm$ 73.56,-1960.27 $\pm$ 365.95,-863.70 $\pm$ 88.66,-754.34 $\pm$ 64.28,-714.04 $\pm$ 33.78,-787.64 $\pm$ 90.34,-787.64 $\pm$ 90.34,-832.91 $\pm$ 101.93,-2015.39 $\pm$ 383.83,-886.20 $\pm$ 98.52,-845.97 $\pm$ 88.95,-771.61 $\pm$ 51.43,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Ecoli,-377.37 $\pm$ 75.75,-262.41 $\pm$ 220.96,-364.62 $\pm$ 76.75,-1867.48 $\pm$ 127.29,-364.61 $\pm$ 77.19,-368.96 $\pm$ 78.23,133.01 $\pm$ 14.72,-43310830720278.37 $\pm$ 123882196773618.48,-35167231813940.89 $\pm$ 112318090619674.70,-39990867305914.89 $\pm$ 114571188975045.64,-4090.90 $\pm$ 1025.07,-37087871898893.09 $\pm$ 106375308032131.52,-36543038016860.74 $\pm$ 105134810653735.84,143.66 $\pm$ 13.53,-378.71 $\pm$ 76.68,-234.62 $\pm$ 246.12,-365.08 $\pm$ 76.46,-1868.92 $\pm$ 154.13,-366.97 $\pm$ 78.43,-22.84 $\pm$ 305.45,135.98 $\pm$ 14.15,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Electrical Grid Stability,-13525.09 $\pm$ 53.04,-13524.98 $\pm$ 53.08,-12880.25 $\pm$ 49.20,-2047.03 $\pm$ 19.89,-12834.28 $\pm$ 76.90,-35359.47 $\pm$ 72.01,863.03 $\pm$ 479.19,-12147.81 $\pm$ 26.77,-12133.88 $\pm$ 26.57,-11631.24 $\pm$ 26.54,-2110.47 $\pm$ 20.76,-11704.17 $\pm$ 65.83,-10869.69 $\pm$ 19.52,-10519.88 $\pm$ 15.99,-12147.81 $\pm$ 26.77,-12133.88 $\pm$ 26.57,-11631.24 $\pm$ 26.54,-2110.49 $\pm$ 20.80,-11702.03 $\pm$ 67.74,-34252.21 $\pm$ 150.08,2010.85 $\pm$ 494.04,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Glass,-864.65 $\pm$ 2666.74,-864.75 $\pm$ 2666.72,-827.49 $\pm$ 2642.56,-3325.09 $\pm$ 1526.82,-821.61 $\pm$ 2667.94,-831.39 $\pm$ 2648.07,59.43 $\pm$ 38.14,-3630.96 $\pm$ 11843.99,-3630.83 $\pm$ 11844.02,-3049.52 $\pm$ 10028.42,-4673.25 $\pm$ 1785.96,-2798.99 $\pm$ 9028.67,-3308.59 $\pm$ 11219.20,74.67 $\pm$ 50.69,-833.90 $\pm$ 2663.71,-833.83 $\pm$ 2663.72,-804.79 $\pm$ 2639.54,-3415.51 $\pm$ 1555.16,-803.96 $\pm$ 2663.92,-790.07 $\pm$ 2663.79,69.15 $\pm$ 47.18,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
HTRU2,-49847.75 $\pm$ 338.61,-49847.75 $\pm$ 338.61,-44873.30 $\pm$ 470.99,-57011.25 $\pm$ 3087.64,-43358.38 $\pm$ 517.16,-42786.31 $\pm$ 476.44,-41875.51 $\pm$ 244.37,-44534.08 $\pm$ 452.29,-44534.08 $\pm$ 452.29,-36864.02 $\pm$ 403.48,-39613.54 $\pm$ 3502.83,-37288.48 $\pm$ 243.56,-36509.34 $\pm$ 393.85,-36027.33 $\pm$ 97.42,-44534.08 $\pm$ 452.29,-44534.08 $\pm$ 452.29,-36864.02 $\pm$ 403.48,-39618.32 $\pm$ 3504.24,-37256.32 $\pm$ 385.90,-37083.61 $\pm$ 607.84,-36723.76 $\pm$ 366.39,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
