Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.38 $\pm$ 0.16,0.38 $\pm$ 0.16,0.59 $\pm$ 0.12,0.44 $\pm$ 0.12,0.87 $\pm$ 0.23,0.58 $\pm$ 0.13,0.63 $\pm$ 0.11,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Banknote Authentication,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.25 $\pm$ 0.00,0.25 $\pm$ 0.00,0.23 $\pm$ 0.08,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Blood Transfusion,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.03 $\pm$ 0.13,0.03 $\pm$ 0.13,0.29 $\pm$ 0.12,0.15 $\pm$ 0.06,0.27 $\pm$ 0.09,0.26 $\pm$ 0.04,0.26 $\pm$ 0.06,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.27 $\pm$ 0.16,0.27 $\pm$ 0.16,0.73 $\pm$ 0.11,0.54 $\pm$ 0.08,0.81 $\pm$ 0.08,0.89 $\pm$ 0.07,0.90 $\pm$ 0.04,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer Coimbra,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.22 $\pm$ 0.16,0.19 $\pm$ 0.13,0.60 $\pm$ 0.27,0.48 $\pm$ 0.17,0.70 $\pm$ 0.31,0.36 $\pm$ 0.21,0.52 $\pm$ 0.15,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Breast Cancer Wisconsin,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.06 $\pm$ 0.13,0.06 $\pm$ 0.13,0.07 $\pm$ 0.17,0.07 $\pm$ 0.14,0.19 $\pm$ 0.15,0.06 $\pm$ 0.09,0.09 $\pm$ 0.11,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Ecoli,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.89 $\pm$ 0.12,0.86 $\pm$ 0.15,0.89 $\pm$ 0.11,0.93 $\pm$ 0.06,0.90 $\pm$ 0.13,0.78 $\pm$ 0.17,0.88 $\pm$ 0.06,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Electrical Grid Stability,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.08 $\pm$ 0.00,0.10 $\pm$ 0.04,0.09 $\pm$ 0.02,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Glass,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.22 $\pm$ 0.11,0.22 $\pm$ 0.11,0.37 $\pm$ 0.13,0.41 $\pm$ 0.08,0.45 $\pm$ 0.17,0.33 $\pm$ 0.16,0.64 $\pm$ 0.12,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
HTRU2,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.20 $\pm$ 0.06,0.21 $\pm$ 0.06,0.26 $\pm$ 0.04,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
