Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM
Algerian Forest Fires,0.02 ± 0.01,0.04 ± 0.01,0.05 ± 0.01,0.08 ± 0.02,0.07 ± 0.02,0.21 ± 0.14,0.23 ± 0.07,1.82 ± 1.83,1.77 ± 1.76,1.76 ± 1.70,3.59 ± 1.72,1.80 ± 1.71,177.20 ± 48.83,178.38 ± 42.02,5.01 ± 2.30,4.90 ± 2.11,8.14 ± 1.87,103.82 ± 4.02,8.53 ± 1.90,4.56 ± 2.12,6.72 ± 1.94
Banknote Authentication,0.02 ± 0.01,0.03 ± 0.01,0.04 ± 0.01,0.03 ± 0.01,0.06 ± 0.02,0.06 ± 0.02,0.05 ± 0.02,1.69 ± 1.70,1.63 ± 1.63,1.61 ± 1.60,1.73 ± 1.58,1.64 ± 1.61,54.59 ± 5.18,45.27 ± 4.13,3.44 ± 2.13,3.38 ± 2.12,6.26 ± 2.09,21.73 ± 2.02,5.98 ± 2.04,5.83 ± 1.99,5.97 ± 1.94
Blood Transfusion,0.02 ± 0.01,0.03 ± 0.01,0.03 ± 0.01,0.03 ± 0.01,0.04 ± 0.01,0.04 ± 0.01,0.04 ± 0.01,1.73 ± 1.74,1.61 ± 1.62,1.62 ± 1.61,1.76 ± 1.64,1.63 ± 1.62,22.41 ± 4.84,21.61 ± 2.13,3.14 ± 1.95,3.03 ± 2.03,4.36 ± 2.07,15.72 ± 1.86,4.72 ± 2.10,3.82 ± 1.93,3.82 ± 1.95
Breast Cancer,0.02 ± 0.01,0.08 ± 0.03,0.37 ± 0.09,0.25 ± 0.05,0.43 ± 0.09,2.40 ± 1.04,1.53 ± 0.50,1.77 ± 1.71,1.75 ± 1.65,2.19 ± 1.62,15.05 ± 1.76,2.42 ± 1.64,1267.51 ± 175.15,1200.17 ± 108.98,11.71 ± 2.27,10.73 ± 3.24,18.34 ± 3.30,629.11 ± 28.89,19.90 ± 2.88,13.61 ± 3.71,15.88 ± 2.83
Breast Cancer Coimbra,0.02 ± 0.01,0.03 ± 0.01,0.02 ± 0.01,0.04 ± 0.01,0.04 ± 0.01,0.08 ± 0.03,0.09 ± 0.02,1.70 ± 1.71,1.58 ± 1.59,1.63 ± 1.60,2.40 ± 1.68,1.65 ± 1.62,52.52 ± 12.75,64.53 ± 14.47,4.58 ± 1.90,3.62 ± 2.06,6.51 ± 1.90,52.33 ± 2.96,6.67 ± 1.97,3.79 ± 1.95,4.74 ± 1.94
Breast Cancer Wisconsin,0.02 ± 0.01,0.04 ± 0.01,0.05 ± 0.01,0.05 ± 0.01,0.08 ± 0.02,0.21 ± 0.07,0.12 ± 0.03,1.70 ± 1.71,1.62 ± 1.61,1.67 ± 1.60,2.59 ± 1.72,1.71 ± 1.60,76.34 ± 7.39,67.82 ± 11.87,5.24 ± 2.25,5.32 ± 2.12,10.56 ± 2.05,86.04 ± 4.30,11.48 ± 2.00,9.59 ± 2.87,9.67 ± 1.80
Ecoli,0.02 ± 0.01,0.03 ± 0.01,0.03 ± 0.01,0.04 ± 0.01,0.05 ± 0.04,0.11 ± 0.03,0.11 ± 0.02,1.71 ± 1.70,1.61 ± 1.60,1.74 ± 1.62,2.82 ± 1.71,1.75 ± 1.60,56.34 ± 19.68,66.31 ± 10.07,3.97 ± 2.16,3.82 ± 2.32,7.00 ± 2.16,40.45 ± 3.23,7.13 ± 2.24,4.98 ± 2.07,5.47 ± 2.04
Electrical Grid Stability,0.02 ± 0.01,0.34 ± 0.07,1.36 ± 0.29,0.13 ± 0.02,1.60 ± 0.31,1.09 ± 0.82,0.47 ± 0.15,1.64 ± 1.61,1.86 ± 1.55,3.08 ± 1.51,3.98 ± 1.53,2.98 ± 1.44,1079.87 ± 45.35,697.40 ± 4.55,25.09 ± 2.35,25.12 ± 2.12,87.52 ± 2.21,1029.58 ± 9.89,120.79 ± 2.84,68.40 ± 17.39,59.60 ± 10.12
Glass,0.02 ± 0.01,0.04 ± 0.01,0.03 ± 0.01,0.05 ± 0.01,0.05 ± 0.01,0.14 ± 0.07,0.19 ± 0.03,1.69 ± 1.67,1.65 ± 1.62,1.71 ± 1.61,3.51 ± 1.80,1.78 ± 1.63,103.23 ± 27.99,135.05 ± 28.17,6.84 ± 2.44,6.71 ± 2.67,11.83 ± 2.05,94.57 ± 5.31,11.55 ± 2.58,6.38 ± 2.97,8.16 ± 1.99
HTRU2,0.02 ± 0.01,0.42 ± 0.08,1.10 ± 0.23,0.08 ± 0.01,1.43 ± 0.25,0.95 ± 0.32,0.45 ± 0.09,1.63 ± 1.61,1.89 ± 1.52,2.79 ± 1.54,3.27 ± 1.49,3.23 ± 1.62,2558.80 ± 148.34,1316.31 ± 76.62,29.61 ± 1.84,29.46 ± 2.93,113.47 ± 4.93,884.03 ± 28.26,155.43 ± 9.95,162.20 ± 11.33,128.05 ± 8.38
Haberman's Survival,0.01 ± 0.01,0.02 ± 0.01,0.02 ± 0.01,0.02 ± 0.01,0.03 ± 0.01,0.02 ± 0.01,0.03 ± 0.01,1.66 ± 1.68,1.58 ± 1.59,1.59 ± 1.60,1.61 ± 1.60,1.61 ± 1.61,3.86 ± 2.08,4.72 ± 2.10,2.46 ± 1.78,2.04 ± 1.84,2.80 ± 1.97,6.17 ± 2.02,2.69 ± 1.80,1.93 ± 1.80,2.37 ± 1.80
Iris,0.01 ± 0.01,0.02 ± 0.01,0.02 ± 0.01,0.02 ± 0.01,0.03 ± 0.01,0.05 ± 0.02,0.05 ± 0.01,1.68 ± 1.70,1.63 ± 1.58,1.62 ± 1.63,1.75 ± 1.63,1.63 ± 1.63,28.98 ± 9.08,17.69 ± 3.34,2.53 ± 2.05,2.59 ± 2.07,3.19 ± 2.06,10.18 ± 2.40,3.24 ± 2.12,3.16 ± 2.10,2.84 ± 1.91
Magic Gamma Telescope,0.02 ± 0.01,0.56 ± 0.12,1.76 ± 0.31,0.11 ± 0.02,2.15 ± 0.32,1.59 ± 0.34,0.74 ± 0.14,1.64 ± 1.59,2.05 ± 1.56,3.26 ± 1.51,3.22 ± 1.56,3.48 ± 1.53,3992.70 ± 361.87,2288.70 ± 56.15,36.41 ± 1.83,36.46 ± 2.77,121.90 ± 2.53,1260.37 ± 4.40,176.60 ± 3.97,175.00 ± 4.08,148.94 ± 4.90
Mammographic Mass,0.02 ± 0.01,0.03 ± 0.01,0.03 ± 0.01,0.04 ± 0.01,0.05 ± 0.01,0.05 ± 0.01,0.04 ± 0.01,1.67 ± 1.68,1.58 ± 1.58,1.63 ± 1.60,1.88 ± 1.68,1.65 ± 1.61,45.32 ± 7.15,29.36 ± 3.91,3.50 ± 2.03,3.36 ± 1.97,6.43 ± 1.82,25.11 ± 2.12,6.78 ± 1.91,4.92 ± 1.88,5.24 ± 2.00
Occupancy Detection,0.02 ± 0.01,0.28 ± 0.06,0.42 ± 0.08,0.05 ± 0.01,0.69 ± 0.12,0.34 ± 0.10,0.14 ± 0.03,1.64 ± 1.64,1.81 ± 1.56,2.00 ± 1.59,1.95 ± 1.58,2.27 ± 1.60,1480.10 ± 5.71,704.88 ± 39.63,20.89 ± 1.87,20.93 ± 2.15,72.52 ± 2.03,357.31 ± 2.97,87.09 ± 2.25,85.22 ± 4.61,81.31 ± 3.70
Page Blocks Classification,0.02 ± 0.01,0.18 ± 0.04,0.48 ± 0.09,0.10 ± 0.01,0.61 ± 0.09,0.41 ± 0.19,0.52 ± 0.08,1.70 ± 1.62,1.77 ± 1.56,2.39 ± 1.58,5.98 ± 1.75,2.74 ± 1.55,1501.26 ± 479.30,940.40 ± 98.81,16.04 ± 2.25,16.20 ± 2.28,46.09 ± 3.98,452.15 ± 34.57,61.72 ± 4.25,40.09 ± 11.63,54.39 ± 3.92
